ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
9.1.0,true,agent,agent.groups,keyword,custom,array,"[""group1"", ""group2""]",List of groups the agent belongs to.
9.1.0,true,agent,agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
9.1.0,true,agent,agent.host.hostname,keyword,core,,,Hostname of the host.
9.1.0,true,agent,agent.host.ip,ip,core,array,,Host ip addresses.
9.1.0,true,agent,agent.host.os.name,keyword,extended,,Mac OS X,"Operating system name, without the version."
9.1.0,true,agent,agent.host.os.platform,keyword,extended,,darwin,"Operating system platform (such centos, ubuntu, windows)."
9.1.0,true,agent,agent.host.os.type,keyword,extended,,macos,"Which commercial OS family (one of: linux, macos, unix, windows, ios or android)."
9.1.0,true,agent,agent.host.os.version,keyword,extended,,10.14.1,Operating system version as a raw string.
9.1.0,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
9.1.0,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
9.1.0,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
9.1.0,true,checksum,checksum.hash.sha1,keyword,custom,,,SHA1 hash used as checksum of the data collected by the agent.
9.1.0,true,interface,interface.name,keyword,extended,,eth0,Interface name
9.1.0,true,network,network.dhcp,boolean,custom,,,DHCP enabled
9.1.0,true,network,network.gateway,ip,custom,,,Gateway address
9.1.0,true,network,network.metric,long,custom,,,Metric of the network protocol
9.1.0,true,network,network.type,keyword,core,,ipv4,"In the OSI Model this would be the Network Layer. ipv4, ipv6, ipsec, pim, etc"
9.1.0,true,state,state.document_version,integer,custom,,,Version of the document.
9.1.0,true,state,state.modified_at,date,custom,,,Date/time when the state was last modified.
9.1.0,true,wazuh,wazuh.cluster.name,keyword,custom,,,Wazuh cluster name.
9.1.0,true,wazuh,wazuh.cluster.node,keyword,custom,,,Wazuh cluster node name.
9.1.0,true,wazuh,wazuh.schema.version,keyword,custom,,,Wazuh schema version.
